broad fluxb equb fwhmb narrow fluxn equn fwhmn
4863.7 3.43e-15 -18.57 15.78 4858.01 6.05e-16 -3.29 4.04
4866.18 1.85e-15 -16.64 18.26 4872.09 1.23e-15 -11.08 8.7
4866.06 3e-15 -22 13.81 4857.48 7.24e-16 -5.38 13.15
4860.09 4.47e-15 -21.17 13.33 4847.21 1.22e-15 -5.74 15.24
4860.15 2.89e-15 -16.88 15.95 4852.1 1.27e-15 -7.42 14.02
4863.46 3.14e-15 -23.29 18.03 4857.64 8.52e-16 -6.33 5.63
4866.46 2.61e-15 -28.26 14.05 4874.95 6.36e-16 -6.95 21.59
4865.4 2.91e-15 -19.54 11.89 4855.7 9.01e-16 -6.08 13.92
4860.58 3.08e-15 -15.72 12.25 4849.55 1.56e-15 -7.99 19
4863.15 2.88e-15 -13.11 21.55 4871.29 7.89e-16 -11.17 6.75
4864.48 1.81e-15 -23.12 12.44 4874.35 1.04e-15 -3.82 14.56
4866.24 2.09e-15 -13.92 9.07 4857.22 1.29e-15 -8.64 12.24
4861.29 2.1e-15 -18.12 10.69 4848.15 5.03e-16 -4.34 10.48
4855.93 3.58e-15 -21.96 11.53 4856.68 2.75e-16 -1.69 7.58
4861.52 1.56e-15 -12.64 8.34 4869.65 1.51e-15 -12.22 19.58
4867.16 2.25e-15 -28.83 10.36 4874.11 2.21e-16 -2.82 12.65
4863.23 1.78e-15 -19.63 12.93 4870.53 4.7e-16 -5.15 14.43
4861.5 2.76e-15 -18.04 10.99 4848.35 7.08e-16 -3.11 12.06
4856.68 3.1e-15 -19.73 11.86 4848.01 8.12e-16 -1.26 5.31
4861.64 3.45e-15 -22.33 12.74 4858.03 9.06e-16 -0.37 0.99
4863.06 3.5e-15 -20 16.42 4857.42 9.03e-16 -4.62 4.43
