bjd mag
2459460.75308 0.024559
2459460.75385 0.021134
2459460.75461 0.021796
2459460.75538 0.02063
2459460.75615 0.020498
2459460.75692 0.021499
2459460.75769 0.021835
2459460.75845 0.024433
2459460.75922 0.019135
2459460.75999 0.020599
2459460.76076 0.017075
2459460.76152 0.019756
2459460.76229 0.017035
2459460.76306 0.016429
2459460.76383 0.014897
2459460.76459 0.015603
2459460.76536 0.022199
2459460.76613 0.015362
2459460.76690 0.019716
2459460.76766 0.016368
2459460.76843 0.015615
2459460.76920 0.019905
2459460.76997 0.019179
2459460.77073 0.020012
2459460.77150 0.025202
2459460.77227 0.018947
2459460.77304 0.019663
2459460.77381 0.018949
2459460.77457 0.021375
2459460.77534 0.017059
2459460.77611 0.020633
2459460.77688 0.015816
2459460.77764 0.019323
2459460.77841 0.020139
2459460.77918 0.019634
2459460.77995 0.021453
2459460.78071 0.0265
2459460.78148 0.020345
2459460.78225 0.022163
2459460.78302 0.021478
2459460.78378 0.023029
2459460.78455 0.030235
2459460.78532 0.026111
2459460.78609 0.027152
2459460.78685 0.028516
2459460.78762 0.027467
2459460.78839 0.028471
2459460.78916 0.033162
2459460.78992 0.035965
2459460.79069 0.028272
2459460.79146 0.031969
2459460.79223 0.033921
2459460.79299 0.030983
2459460.79376 0.03026
2459460.79453 0.033939
2459460.79530 0.035545
2459460.79607 0.03581
2459460.79683 0.040497
2459460.79760 0.036616
2459460.79837 0.045048
2459460.79914 0.040989
2459460.79990 0.035023
2459460.80067 0.032246
2459460.80144 0.034012
2459460.80221 0.033003
2459460.80297 0.030834
2459460.80374 0.038422
2459460.80451 0.030862
2459460.80528 0.031143
2459460.80604 0.031119
2459460.80681 0.034898
2459460.80758 0.028402
2459460.80835 0.029392
2459460.80911 0.026994
2459460.80988 0.030234
2459460.81065 0.024877
2459460.81142 0.026749
2459460.81218 0.021834
2459460.81295 0.026754
2459460.81372 0.025003
2459460.81449 0.021119
2459460.81525 0.023429
2459460.81602 0.01809
2459460.81679 0.021936
2459460.81756 0.027257
2459460.81909 0.018887
2459460.81986 0.015983
2459460.82063 0.019693
2459460.82140 0.021927
2459460.82216 0.023937
2459460.82293 0.019449
2459460.82370 0.022749
2459460.82447 0.021641
2459460.82523 0.019813
2459460.82600 0.026563
2459460.82677 0.025281
2459460.82754 0.018801
2459460.82830 0.022428
2459460.82907 0.021039
2459460.82984 0.023103
2459460.83061 0.025845
2459460.83137 0.023444
2459460.83214 0.030765
2459460.83291 0.028598
2459460.83368 0.027878
2459460.83444 0.022242
2459460.83521 0.021337
2459460.83598 0.022161
2459460.83675 0.026664
2459460.83752 0.027524
2459460.83828 0.027531
2459460.83905 0.024972
2459460.83982 0.021127
2459460.84058 0.027446
2459460.84135 0.019047
2459460.84212 0.021302
2459460.84289 0.032882
2459460.84365 0.021681
2459460.84442 0.019053
2459460.84519 0.024585
2459460.84596 0.016799
2459460.84672 0.0233
2459460.84749 0.013722
2459460.84826 0.015871
2459460.84903 0.027507
2459460.84979 0.016225
2459460.85056 0.024983
2459460.85133 0.026749
2459460.85210 0.022725
2459460.85286 0.046371
2459460.85363 0.023328
