broad fluxb equb fwhmb narrow fluxn equn fwhmn
4684.75 1.72e-15 -10.78 7.68 4693.15 1.56e-15 -9.74 15.74
4687.6 1.03e-15 -6.6 10.31 4698.23 4.74 -13.42 6.29
4689.18 2.56e-15 -21.11 11.63 4678.90 2.63e-16 -2.20 9.96
4682.94 2.73e-15 -13.84 10.69 4671.31 6.94e-16 -3.56 7.14
4678.59 1.82e-15 -11.29 8.37 4685.69 7.03e-16 -4.31 5.08
4684.33 2.27e-15 -21.96 11.49 4698.44 1.38e-15 -13.29 26.3
4691.52 1.99e-15 -23.09 9.04 4689.35 4.42e-16 -5.05 28.67
4688.62 2.03e-15 -15.34 9.97 4679.64 4.22e-16 -3.27 11.78
4682.74 2.21e-15 -12.3 10.31 4671.71 5.54e-16 -3.13 6.42
4684.70 2.65e-15 -20.86 13.24 4699.49 4.62e-16 -3.59 13.48
4690.44 1.91e-15 -28.04 11.19 4685.79 2.36e-16 -3.61 14.25
4689.12 1.10e-15 -8.22 8.19 4679.37 9.05e-16 -6.86 13.26
4684.55 9.76e-16 -9.52 8.05 4673.21 4.32e-16 -4.29 7.98
4680.9 2.01e-15 -13.69 7.61 4673.48 4.45e-16 -3.67 4.60
4686.99 1.65e-15 -16.64 29.47 4698.51 1.42e-15 -14.55 7.84
4691.06 1.57e-15 -22.29 6.72 4697.34 3.22e-16 -4.48 9.49
4686.29 1.08e-15 -13.05 8.18 4693.02 5.60e-16 -6.71 7.29
4684.47 1.07e-15 -9.35 8.25 4673.55 4.21e-16 -5.22 9.45
4681.16 1.54e-15 -10.18 7.09 4673.71 5.05e-16 -3.63 7.18
4678.71 1.64e-15 -9.39 6.23 4685.52 5.22e-16 -7.15 5.20
4681.37 1.35e-15 -9.77 8.77 4686.71 4.74e-16 -3.98 3.48

