broad fluxb equb fwhmb narrow fluxn equn fwhmn
4342.73 2.96e-15 -20.78 14.32 4337.7 7.71e-16 -5.43 3.9
4345.37 1.87e-15 -18.91 9.34 4354.00 8.15e-16 -8.26 12.03
4344.80 2.49e-15 -19.94 11.11 4336.47 8.61e-16 -6.81 10.59
4339.18 3.81e-15 -20.79 11.31 4327.30 1.06e-15 -5.73 11.47
4336.21 3.12e-15 -22.65 14.03 4329.61 4.57e-16 -3.29 41.88
4341.66 2.97e-15 -29.27 18.96 4337.67 7.33e-16 -7.25 5.13
4345.82 2.65e-15 -34.24 13.13 4363.42 2.10e-16 -2.73 5.88
4345.34 2.00e-15 -15.91 9.03 4337.06 1.22e-15 -9.65 9.46
4339.72 3.11e-15 -19.33 11.79 4328.90 1.09e-15 -6.75 14.58
4338.38 2.15e-15 -16.34 10.86 4329.94 7.32e-16 -5.75 7.09
4342.75 1.18e-15 -21.27 10.17 4347.98 1.16e-15 -21.05 22.37
4344.63 2.00e-15 -17.06 9.42 4336.60 8.45e-16 -7.18 9.65
