 bjd circ_pol err lin_pol err1 theta err2 ns ns1
0 2459460.755765 12.2054 1.6728 14.3743 2.1945 78.8 4.3736263018025 -13.289702050953 5.4776199107717
1 2459460.756535 10.6184 1.562 15.7273 2.02195 79.5 3.6830620262219 -14.682699441649 5.6361602528838
2 2459460.7573 9.5404 1.04735 18.0236 1.2641 83.8 2.0092440128498 -17.603150475784 3.8703036427283
3 2459460.75807 12.562 1.19185 17.9281 1.3775 89.1 2.20115250640055 -17.919253564893 0.56313522982859
4 2459460.758835 11.7407 1.46225 16.5492 1.7591 84.0 3.0451333532739 -16.187560274064 3.4407721536813
5 2459460.759605 13.9007 2.35605 11.7471 2.753 86.9 6.713799039763 -11.678390788879 1.2686792314142
6 2459460.760375 18.0913 2.57905 12.2602 3.79335 107.0 8.863763353371 -10.164166447039 -6.8558168351321
7 2459460.76114 21.5795 1.9106 10.2541 2.38685 98.5 6.668380463912 -9.8060445981206 -2.9980086973974
8 2459460.761905 22.2165 1.6853 8.5018 1.9617 92.6 6.6101984791455 -8.4668099801533 -0.77054007032549
9 2459460.762675 22.9733 2.37445 12.0427 2.8274 84.9 6.725989392744 -11.852372448091 2.1325784022466
10 2459460.763445 26.9595 2.86265 16.5478 4.3253 71.7 7.4880504882825 -13.284863015968 9.866209985956
11 2459460.764975 27.8159 2.93155 16.0267 4.39235 72.1 7.851373243712 -12.998676507796 9.3749411697176
12 2459460.765745 27.6068 2.84 17.2551 4.2699 71.9 7.0891312255505 -13.924180882073 10.190959855349
13 2459460.766515 26.9218 2.74225 18.2602 4.2407 70.5 6.6531116597845 -14.190840685397 11.491516204648
14 2459460.768815 17.3066 2.8716 8.5648 3.3268 91.7 11.12761929292 -8.5497244782015 -0.5079472284034
15 2459460.769585 14.3335 1.74115 13.524 2.64835 108.7 5.61000191992 -10.743663328121 -8.2141508564177
16 2459460.77035 14.3635 1.81755 1.3446 2.1484 85.5 45.7735745649265 -1.3280457427642 0.21034178169309
17 2459460.77112 8.5046 1.82975 9.1658 2.48475 103.0 7.766138201248 -8.2381664695689 -4.0180222572393
18 2459460.771885 16.0658 2.1635 10.9257 3.95255 120.1 10.363844618194 -5.4297884059988 -9.4809450138729
19 2459460.772655 12.9093 2.15085 7.3808 2.95145 103.5 11.455783174588 -6.5763409537295 -3.3508130804776
20 2459460.77342 11.0328 2.33035 8.6754 3.5907 109.3 11.8572071063005 -6.7800027064222 -5.4124050532926
21 2459460.77419 13.4199 2.32045 1.8433 3.0542 11.4 47.4672685835185 1.6992703473231 0.71430748050716
22 2459460.774955 14.222 1.585 17.1899 2.3747 17.9 3.9575662528578 13.942105942045 10.055363937263
23 2459460.775725 10.1994 1.20725 15.5515 1.42285 4.2 2.62107607079705 15.384668686074 2.2718102186883
24 2459460.776495 7.6296 1.0166 15.4632 1.17585 178.8 2.1784386941254 15.449636146385 -0.64753160874535
25 2459460.77726 7.6047 1.0186 15.5123 1.1777 179.0 2.17495998852525 15.502850325968 -0.5413714626982
26 2459460.778025 7.0596 1.141 13.1572 1.33555 3.4 2.9079669568753 13.064645783259 1.5578646918023
27 2459460.778795 6.6281 1.0462 13.1294 1.24715 5.2 2.72123847890995 12.913703268897 2.3701080656527
28 2459460.779565 7.868 0.7277 13.5703 0.90215 8.0 1.9045049103557 13.044609592392 3.7404816096434
29 2459460.78033 6.5398 0.73345 10.2873 0.85335 177.5 2.3763947260214 10.248153717679 -0.89659727236799
30 2459460.781095 7.0167 1.36435 4.4778 1.98645 163.6 12.708834908884 3.763889137133 -2.4256610240041
31 2459460.781865 8.1521 1.45415 1.0027 1.67985 90.6 47.9945894235565 -1.0024800913202 -0.020998964417042
32 2459460.782635 7.9181 1.1364 6.756 2.0129 152.3 8.535428938721 3.8363523415788 -5.5611093058187
33 2459460.7834 9.2477 1.24035 4.7085 1.67995 12.8 10.2213103122015 4.2462784505785 2.0344757482341
34 2459460.784165 8.9755 1.06495 6.8901 1.32665 81.7 5.5159920080985 -6.6029383703222 1.968421420257
35 2459460.784935 6.2096 0.75445 1.54 1.0964 106.4 20.3958165974025 -1.2944725693834 -0.83423064383542
36 2459460.785705 6.2322 0.7529 1.5246 1.086 106.0 20.406414403778 -1.2929341274001 -0.80791491024994
37 2459460.78647 7.0074 0.78045 1.9343 1.54505 40.0 22.882922966965 0.33588767006114 1.9049136366515
38 2459460.787235 7.6928 1.40615 6.0162 1.6338 87.7 7.779817662312 -5.9968210885685 0.48249276854728
39 2459460.788005 7.6356 1.4028 5.988 1.6258 88.3 7.7781823346695 -5.9774600896075 0.35512656497286
40 2459460.788775 4.4238 1.5034 6.8592 2.22895 72.6 9.3093562959235 -5.6324266552899 3.9146385034611
41 2459460.78954 3.4811 1.5314 10.143 1.87905 82.6 5.307190820763 -9.806489630615 2.5909863227427
42 2459460.790305 5.1299 1.45785 3.5841 1.87335 79.9 14.97378518038 -3.3636528428725 1.2375832750306
43 2459460.791075 3.7678 1.108 5.4666 1.81255 67.4 9.498728852486 -3.851953372187 3.8789393883505
44 2459460.791845 3.119 1.25625 5.0376 1.94015 70.5 11.033274413411 -3.9149504954356 3.1702644019527
45 2459460.79261 2.048 1.4192 6.2007 1.65315 92.7 7.6377305602595 -6.1731810739143 -0.58353741839411
46 2459460.79338 2.1321 1.4577 6.5543 1.6858 91.1 7.3683886639305 -6.5494689330301 -0.25160521710233
47 2459460.794145 1.3404 1.28645 6.5175 1.5941 98.0 7.0069224994245 -6.265023103278 -1.7964664665373
48 2459460.794915 4.4277 1.3294 8.3943 2.04055 109.1 6.963948434652 -6.5967185183823 -5.1911055931499
49 2459460.79568 4.4366 1.08145 5.1016 1.8705 116.0 10.5037433256235 -3.1408585825214 -4.0201156606001
50 2459460.79645 3.9272 1.08885 5.7941 1.4079 100.4 6.961111891407 -5.4164734516062 -2.057525250889
51 2459460.797215 3.7418 1.04475 5.7393 1.3085 98.6 6.531419711463 -5.4826291037288 -1.6971572116178
52 2459460.797985 2.3836 1.2661 6.4713 1.78445 104.8 7.8996098395995 -5.6267625373071 -3.1964460012265
53 2459460.798755 4.3713 1.3526 2.6528 1.5655 91.4 16.906019093034 -2.6496329211394 -0.1295886693138
54 2459460.79952 4.1664 1.2846 1.961 1.7777 103.9 25.9701029219785 -1.7346632923968 -0.91458420170653
55 2459460.800285 1.5671 1.1698 6.7797 1.94975 113.7 8.238748473384 -4.5890160116575 -4.9905174215457
56 2459460.801055 -0.8041 1.0717 9.7939 1.3866 100.5 4.0559101216063 -9.143393339071 -3.5098198610517
57 2459460.801825 -0.2068 0.88935 11.8106 1.2358 104.1 2.9975678475268 -10.408722550959 -5.5811080635625
58 2459460.80259 -0.1776 0.89295 11.7499 1.2506 104.5 3.04913775776815 -10.276694096917 -5.6964645569324
59 2459460.803355 -0.33 0.87685 11.6577 1.2109 103.8 2.9756934995754 -10.331095465604 -5.4009661886168
60 2459460.804125 3.6099 0.7197 9.9694 0.84045 93.1 2.41510297059 -9.9110886202256 -1.0766887767756
61 2459460.804895 3.3433 0.8427 10.6618 1.0066 95.4 2.70470053274305 -10.472950209819 -1.9978220998501
62 2459460.80566 3.2307 0.85835 10.2615 1.0452 96.8 2.91797350095015 -9.9737778074368 -2.4129107936022
63 2459460.806425 5.6074 1.1502 11.0388 1.37895 84.3 3.57865181949125 -10.821017442414 2.1818998489771
64 2459460.807195 5.8118 1.06615 4.9682 1.27095 95.2 7.3286197224345 -4.8865797812951 -0.89685521743383
65 2459460.807965 4.1035 1.3914 10.7694 1.99115 74.4 5.2966986169145 -9.2117598633726 5.578840074743
66 2459460.80873 4.7199 1.70665 7.2108 2.3276 76.8 9.2473584123815 -6.4587983607344 3.2061753500667
67 2459460.809495 6.348 1.8135 5.8763 2.0942 89.8 10.209559106921 -5.8761567987141 0.04102397988891
68 2459460.810265 7.5296 2.7663 16.6234 3.76405 76.9 6.4867673276825 -14.915484782444 7.3393283932983
69 2459460.811035 10.096 1.9411 18.8826 3.53785 60.1 5.36747974405 -9.4983244442401 16.319755375371
70 2459460.8118 9.614 2.0642 16.2217 3.83405 58.5 6.7710215942225 -7.364497689625 14.453640533426
71 2459460.812565 7.68 1.86085 12.6124 3.3564 61.0 7.6237521455075 -6.6835537282149 10.695921807963
72 2459460.813335 10.3672 1.35635 10.4066 2.27285 66.0 6.2568350388215 -6.9633745681341 7.7336109408131
73 2459460.814105 10.6988 1.5385 10.0937 2.41605 69.7 6.857223693492 -7.6638567948461 6.5687197168163
74 2459460.82101 -6.3179 2.87425 14.3608 5.4763 55.9 10.9244954856275 -5.3331392127698 13.333799262671
75 2459460.82178 0.4626 1.0809 2.9242 1.25275 88.2 12.272982944053 -2.91842975927 0.18361203720762
76 2459460.822545 1.4664 0.81415 3.0927 1.0905 77.7 10.101379037734 -2.8119945144499 1.2874316062237
77 2459460.823315 0.9382 1.0376 3.9643 1.222 94.1 8.8307478747825 -3.9237699121878 -0.56542388188876
78 2459460.824085 0.8373 1.0297 3.6012 1.26905 97.6 10.095417498334 -3.4752173998937 -0.94419567012148
79 2459460.82485 1.594 1.2808 3.7802 1.5064 86.1 11.416114639437 -3.7452249865502 0.51303200691616
80 2459460.825615 0.8914 0.4796 10.7872 0.89515 148.1 2.3772774848895 4.7626119352351 -9.6789054853509
81 2459460.826385 0.4703 0.63575 9.9591 1.12785 152.2 3.2443226812664 5.6265628838093 -8.2173878407034
82 2459460.827155 0.4037 0.5897 9.5806 1.0504 151.9 3.14090497046115 5.3296457738622 -7.9613298063296
83 2459460.82792 1.3448 0.73195 11.3082 1.3355 150.1 3.38332099273095 5.688250160484 -9.7733923154529
84 2459460.828685 2.9923 0.9671 9.8812 1.69355 153.1 4.9099958552605 5.835892722886 -7.9737362363553
85 2459460.829455 3.5874 0.7349 9.22 1.1431 160.2 3.55178031344905 7.1041320983928 -5.8770491854829
86 2459460.830225 3.6203 1.5404 10.0986 2.19965 74.5 6.2400088363735 -8.6561897028704 5.2011635032867
87 2459460.83099 6.4148 1.4206 2.6257 2.0467 15.9 22.330676364398 2.2315632439756 1.3836278322356
88 2459460.831755 6.8236 1.386 2.3787 1.8309 11.6 22.050464585698 2.1863472314864 0.937069620344
89 2459460.832525 7.5191 1.20905 1.6644 2.2604 147.9 38.906340519106 0.7243986417953 -1.4984905631218
90 2459460.833295 7.7307 1.4142 2.852 2.48425 152.9 24.953907985624 1.6682992890635 -2.3131540117576
91 2459460.83406 8.953 1.5684 5.1351 2.9554 147.1 16.4877029970205 2.1049957710799 -4.6838280085562
92 2459460.83483 3.0164 2.26925 16.4425 2.63385 177.9 4.5889780395317 16.398343291763 -1.2042190562711
93 2459460.835595 -0.4958 1.99365 16.2071 3.55275 151.9 6.2798913269495 9.015938669975 -13.467848391976
94 2459460.836365 0.0985 2.15685 12.8647 3.94735 149.8 8.7902001651805 6.3544139310462 -11.185791419606
95 2459460.83713 -1.3152 2.1072 15.5257 3.93055 148.1 7.252620065118 6.8546874186888 -13.930564270053
96 2459460.837895 1.3169 2.15945 18.0714 4.12345 145.7 6.536747748099 6.5938343204789 -16.825482070778
97 2459460.838665 2.9089 2.86765 13.6442 5.0336 153.0 10.568744920186 8.019859539329 -11.038389674651
98 2459460.842505 11.6262 2.02445 28.7035 2.623 169.5 2.6179191283293 26.797025771962 -10.286414439774
99 2459460.84327 14.5532 2.6063 15.3447 3.2864 171.0 6.1355685389745 14.593676925594 -4.7417730735853
100 2459460.844035 11.6574 2.55625 14.975 2.9839 177.0 5.7083451626045 14.89296538314 -1.5653137374331
101 2459460.844805 15.9677 2.4146 16.581 4.1253 154.8 7.127506294554 10.569127174023 -12.775880078465
102 2459460.845575 14.2733 1.76005 6.9442 3.29635 147.7 13.5989034251605 2.9786113533781 -6.2729409407013
103 2459460.84634 14.8153 1.8353 7.9816 3.4712 146.7 12.4589794627645 3.1698756038906 -7.3251503203593
104 2459460.847105 16.0186 1.95615 6.8456 3.59555 149.4 15.0468851298645 3.2978929514307 -5.9988450089083
105 2459460.847875 18.3719 1.48745 8.5536 1.83135 7.6 6.1335965751265 8.2543650871184 2.2426613584225
106 2459460.848645 18.3409 1.4796 8.6574 1.80795 7.1 5.982624206459 8.3928761721822 2.1237241625071
107 2459460.84941 16.5069 2.0213 9.1648 2.39075 175.5 7.4731545614745 9.0519661038863 -1.4336905852007
108 2459460.850175 12.8984 2.03775 9.7677 2.5071 7.5 7.353128176541 9.4348736934437 2.5280667868479
